canonical_precursor,n_rows,co2_min,co2_max,co2_range,ch4_min,ch4_max,ch4_range
CC(=O)[O-].O=C([O-])c1cc(C(=O)[O-])cc(C(=O)[O-])c1.[Ni],4,1.692082997,1.706763926,0.014680929000000065,5.2899120979,5.6570588528,0.3671467548999994
CC(=O)[O-].O=C[O-].[Mn],2,0.138571136,0.336170228,0.197599092,1.8039312561,2.3510826385,0.5471513823999998
CC(C)(C)N(O)c1cccc(c2cncnc2)c1.[Cu],2,2.7765462,3.586915119,0.8103689190000001,3.1543571056,3.7176545914,0.5632974858000002
CC(C)(C)c1cc(c2ccncc2)cc(C=NC2CCCCC2N=Cc2cc(c3ccncc3)cc(C(C)(C)C)c2O)c1O.O=C([O-])c1ccc(c2ccc(C(=O)[O-])cc2)cc1.[Cd].[V][V][O][V][V],2,2.66762149,3.476890348,0.8092688579999998,4.558240516600001,4.7131424495,0.15490193289999965
CC(C)(C)c1cc2c(SCCn3ccc[n-]3)c(c1)Sc1cc(C(C)(C)C)cc(c1SCCn1ccc[n-]1)Sc1cc(C(C)(C)C)cc(c1SCCn1ccc[n-]1)Sc1cc(C(C)(C)C)cc(c1SCCn1ccc[n-]1)S2.[Ag],3,1.160862165,2.069496441,0.9086342760000001,4.4525899333,4.5919432108,0.1393532775000006
CC(C)C(NCc1ccncc1)C(=O)[O-].[Cl][Zn],2,0.27391816,0.292025806,0.018107645999999977,5.8402186111,5.8469036098,0.0066849986999999444
CC(C)C(NCc1ccncc1)C(=O)[O-].[Zn],2,3.238197184,3.298783755,0.06058657099999998,6.643641688200001,7.0150108412,0.37136915299999895
CC(C)C(NCc1ccncc1)C(=O)[O-].[Zn][Br],2,0.200985321,0.203679885,0.0026945640000000104,4.8854572263,4.8950536559,0.009596429600000178
CC(C)Oc1c(c2ccc(C(=O)[O-])cc2)cc(c2cc(c3ccc(C(=O)[O-])cc3)c(OC(C)C)c(c3ccc(C(=O)[O-])cc3)c2)cc1c1ccc(C(=O)[O-])cc1.[Cu][Cu],3,0.438010201,1.57755925,1.139549049,11.3156138563,19.1297356452,7.8141217889
CC(NC(=O)c1cc(C(=O)NC(C)C(=O)[O-])cc(C(=O)NC(C)C(=O)[O-])c1)C(=O)[O-].[Co].c1cc(c2ccncc2)ccn1,2,1.062817535,1.103166422,0.040348886999999944,6.3199758057,6.3598756103,0.0398998045999992
