application,feature_group,model,split_type,test_subset,n_seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,enrichment_top10_mean,enrichment_top10_std,enrichment_top25_mean,enrichment_top25_std,train_time_sec_mean,train_time_sec_std,inference_time_sec_per_sample_mean,inference_time_sec_per_sample_std,peak_rss_delta_mb_mean,peak_rss_delta_mb_std,model_size_kb_mean,model_size_kb_std,validation_auc_mean,validation_f1_at_selected_threshold_mean,selected_probability_threshold_mean,label_cutoff_value_mean,n_train_mean,n_valid_mean,n_test_mean,train_positive_rate_mean,valid_positive_rate_mean,test_positive_rate_mean
ch4_storage,precursor_descriptor,random_forest,metal_element_holdout,test,1,0.8274067649609714,0.0,0.7009493670886076,0.0,0.6794478527607362,0.0,0.6900311526479751,0.0,0.8832487333180021,0.0,0.7974188161869429,0.0,3.3530794359015217,0.0,2.6541397752283338,0.0,6.725660948000041,0.0,3.881005550735182e-05,0.0,0.00390625,0.0,17560.4736328125,0.0,0.8461088673217192,0.6454849498327759,0.32,8.0755567352,4360.0,1204.0,2306.0,0.25,0.22009966777408638,0.28274067649609713
ch4_storage,precursor_descriptor,random_forest,metal_element_holdout,test_fully_unseen,1,0.803486529318542,0.0,0.7061769616026711,0.0,0.6833602584814217,0.0,0.6945812807881774,0.0,0.8669906138172928,0.0,0.806527130284208,0.0,2.945489329138679,0.0,2.4839471585448147,0.0,5.520305556000039,0.0,5.6761311146310744e-05,0.0,0.00390625,0.0,17560.4736328125,0.0,0.8461088673217192,0.6454849498327759,0.32,8.0755567352,4360.0,1204.0,1893.0,0.25,0.22009966777408638,0.3269941891178024
ch4_storage,precursor_descriptor,random_forest,metal_element_holdout,test_partial_unseen,1,0.937046004842615,0.0,0.6060606060606061,0.0,0.6060606060606061,0.0,0.6060606060606061,0.0,0.9134370015948964,0.0,0.6001396916776459,0.0,6.555555555555555,0.0,3.4898018648018647,0.0,5.213327790999983,0.0,6.986378208265757e-05,0.0,0.00390625,0.0,17560.4736328125,0.0,0.8461088673217192,0.6454849498327759,0.32,8.0755567352,4360.0,1204.0,413.0,0.25,0.22009966777408638,0.07990314769975787
ch4_storage,precursor_descriptor,random_forest,random_group_aware,test,1,0.8364406779661017,0.0,0.6267123287671232,0.0,0.6853932584269663,0.0,0.6547406082289803,0.0,0.8747677123201694,0.0,0.7069159011630854,0.0,3.8202247191011236,0.0,2.756554307116105,0.0,7.7805674229999795,0.0,5.097640932203214e-05,0.0,21.12890625,0.0,20821.0400390625,0.0,0.8965699511634588,0.7056910569105691,0.34,8.1806480536,5510.0,1180.0,1180.0,0.2500907441016334,0.25,0.22627118644067798
ch4_storage,precursor_descriptor,random_forest,scaffold,test,3,0.7943502824858757,0.02658820929839577,0.6303820601883563,0.039950293077021894,0.5417267612249691,0.0720263689158109,0.5792562940866759,0.028365016421191297,0.8173528369716396,0.010917583682108871,0.6803876580205207,0.013439152471984336,3.2595737728354215,0.302880504558903,2.2725750288474305,0.11346955077817251,6.695761288999999,0.8934150150880578,4.8199570338988836e-05,1.1051275632956233e-06,14.046875,0.0,19692.081705729168,171.77883199741413,0.8177957777368444,0.5855789770022869,0.35333333333333333,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
ch4_storage,precursor_descriptor,xgboost,metal_element_holdout,test,1,0.8464874241110147,0.0,0.8401826484018264,0.0,0.5644171779141104,0.0,0.6752293577981652,0.0,0.8887744712576315,0.0,0.8010789008237054,0.0,3.307146840889172,0.0,2.598972897683172,0.0,3.9141958830000476,0.0,2.0104822202970468e-05,0.0,0.00390625,0.0,638.919921875,0.0,0.8528020575883617,0.6462715105162524,0.42,8.0755567352,4360.0,1204.0,2306.0,0.25,0.22009966777408638,0.28274067649609713
ch4_storage,precursor_descriptor,xgboost,metal_element_holdout,test_fully_unseen,1,0.8283148441627047,0.0,0.8466981132075472,0.0,0.5799676898222941,0.0,0.6883988494726749,0.0,0.8744607573363632,0.0,0.8110573573803507,0.0,2.977680469347845,0.0,2.46459172614057,0.0,2.8761467290000837,0.0,2.3411797675659432e-05,0.0,0.00390625,0.0,638.919921875,0.0,0.8528020575883617,0.6462715105162524,0.42,8.0755567352,4360.0,1204.0,1893.0,0.25,0.22009966777408638,0.3269941891178024
ch4_storage,precursor_descriptor,xgboost,metal_element_holdout,test_partial_unseen,1,0.9297820823244553,0.0,0.6428571428571429,0.0,0.2727272727272727,0.0,0.3829787234042553,0.0,0.9038676236044657,0.0,0.5895945659119819,0.0,6.555555555555555,0.0,3.3694638694638694,0.0,2.8757219619999432,0.0,8.71505617435444e-05,0.0,0.00390625,0.0,638.919921875,0.0,0.8528020575883617,0.6462715105162524,0.42,8.0755567352,4360.0,1204.0,413.0,0.25,0.22009966777408638,0.07990314769975787
ch4_storage,precursor_descriptor,xgboost,random_group_aware,test,1,0.847457627118644,0.0,0.6986301369863014,0.0,0.5730337078651685,0.0,0.6296296296296297,0.0,0.8775777266368846,0.0,0.718103640041568,0.0,3.745318352059925,0.0,2.7715355805243442,0.0,3.217711926999982,0.0,4.747106101692641e-05,0.0,0.00390625,0.0,674.193359375,0.0,0.8808848032174663,0.6996336996336996,0.435,8.1806480536,5510.0,1180.0,1180.0,0.2500907441016334,0.25,0.22627118644067798
ch4_storage,precursor_descriptor,xgboost,scaffold,test,3,0.788135593220339,0.03023654707612079,0.609254240690555,0.04619146599086682,0.5611901479643415,0.04218444457459592,0.5820434072799675,0.005761720821285572,0.8284010185874041,0.005754861436827913,0.6771769737370331,0.022066880375152004,3.1997733051496495,0.18491815407562556,2.2506587425583846,0.093593523119823,3.7591964020000432,0.9129640966611189,4.624618022598361e-05,2.387403650101503e-05,0.00390625,0.0,376.3590494791667,236.7001432680546,0.8320172443242578,0.5998465885860461,0.34833333333333333,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
ch4_storage,precursor_only,logistic_regression,metal_element_holdout,test,1,0.7614917606244579,0.0,0.5582191780821918,0.0,0.75,0.0,0.6400523560209425,0.0,0.8044014881195243,0.0,0.622433190831917,0.0,2.5722253206915786,0.0,2.188286142624746,0.0,2.9021316490000117,0.0,3.0262575888921345e-06,0.0,0.00390625,0.0,14.0791015625,0.0,0.772158257479856,0.5380434782608695,0.225,8.0755567352,4360.0,1204.0,2306.0,0.25,0.22009966777408638,0.28274067649609713
ch4_storage,precursor_only,logistic_regression,metal_element_holdout,test_fully_unseen,1,0.7332276809297411,0.0,0.5685096153846154,0.0,0.7641357027463651,0.0,0.6519641626464507,0.0,0.7840867302556663,0.0,0.638163330434157,0.0,2.269475384746195,0.0,1.929091429623116,0.0,2.419719966999992,0.0,3.1408119387312194e-06,0.0,0.00390625,0.0,14.0791015625,0.0,0.772158257479856,0.5380434782608695,0.225,8.0755567352,4360.0,1204.0,1893.0,0.25,0.22009966777408638,0.3269941891178024
ch4_storage,precursor_only,logistic_regression,metal_element_holdout,test_partial_unseen,1,0.8910411622276029,0.0,0.36363636363636365,0.0,0.48484848484848486,0.0,0.4155844155844156,0.0,0.7345693779904308,0.0,0.3969289084325519,0.0,4.46969696969697,0.0,2.7677738927738926,0.0,2.4598176340000464,0.0,8.324392251834555e-06,0.0,0.00390625,0.0,14.0791015625,0.0,0.772158257479856,0.5380434782608695,0.225,8.0755567352,4360.0,1204.0,413.0,0.25,0.22009966777408638,0.07990314769975787
